Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
84,873.92,0.800,-11.941,5.5306,3.3795,53.2045,0.0563,1.5150,0.6287,0.0000,19.6798,0.0000,23.9317,0.0000,0.0000,0.9633,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.192,-66.911,11.578,1.637,6.564,-0.609956,0.960546,0.605562,0.024965,-0.021851,0.039258,0.001477
85,873.92,0.800,-11.941,5.5365,3.3795,53.2045,0.0563,1.5150,0.6287,0.0000,19.6798,0.0000,23.9317,0.0000,0.0000,0.9633,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.278,-66.983,11.591,1.638,6.571,-0.609956,0.960546,0.605562,0.024965,-0.021851,0.039258,0.001477
86,873.92,0.800,-11.941,5.5365,3.3795,53.2045,0.0563,1.5150,0.6287,0.0000,19.6798,0.0000,23.9317,0.0000,0.0000,0.9633,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.278,-66.983,11.590,1.638,6.571,-0.609955,0.960546,0.605561,0.024965,-0.021851,0.039258,0.001477
87,875.06,0.750,-11.925,5.5982,3.3811,53.1737,0.0550,1.5049,0.6318,0.0000,19.8229,0.0000,23.8376,0.0000,0.0000,0.9537,0.0205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.101,-67.640,11.724,1.656,6.642,-0.614947,0.960915,0.610373,0.024691,-0.021646,0.039150,0.001463
88,875.06,0.750,-11.925,5.6042,3.3811,53.1737,0.0550,1.5049,0.6318,0.0000,19.8229,0.0000,23.8376,0.0000,0.0000,0.9537,0.0205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.188,-67.712,11.736,1.658,6.649,-0.614947,0.960915,0.610373,0.024691,-0.021646,0.039150,0.001463
89,875.06,0.750,-11.925,5.6042,3.3811,53.1737,0.0550,1.5049,0.6318,0.0000,19.8228,0.0000,23.8376,0.0000,0.0000,0.9537,0.0205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.187,-67.712,11.736,1.658,6.649,-0.614946,0.960915,0.610372,0.024691,-0.021646,0.039151,0.001463
90,876.23,0.700,-11.908,5.6699,3.3828,53.1400,0.0537,1.4946,0.6351,0.0000,19.9765,0.0000,23.7355,0.0000,0.0000,0.9442,0.0203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-82.059,-68.408,11.877,1.676,6.724,-0.620294,0.961276,0.615549,0.024411,-0.021435,0.039045,0.001448
91,876.23,0.700,-11.908,5.6760,3.3828,53.1400,0.0537,1.4946,0.6351,0.0000,19.9765,0.0000,23.7355,0.0000,0.0000,0.9442,0.0203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-82.147,-68.481,11.890,1.678,6.731,-0.620294,0.961276,0.615549,0.024411,-0.021435,0.039045,0.001448
92,876.23,0.700,-11.908,5.6760,3.3828,53.1400,0.0537,1.4946,0.6351,0.0000,19.9765,0.0000,23.7355,0.0000,0.0000,0.9442,0.0203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-82.147,-68.481,11.890,1.678,6.731,-0.620293,0.961276,0.615549,0.024411,-0.021435,0.039045,0.001448
93,877.43,0.650,-11.891,5.7460,3.3846,53.1033,0.0524,1.4841,0.6386,0.0000,20.1418,0.0000,23.6248,0.0000,0.0000,0.9350,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-83.071,-69.218,12.040,1.698,6.811,-0.626032,0.961629,0.621125,0.024126,-0.021221,0.038942,0.001432
